,name,nickname,price,daily_percent,weekly_percent,market_cap,volume,circulating_supply,time
24,Filecoin,FIL,$71.29,3.10%,2.38%,"$5,392,735,952","$592,710,811","75,643,693 FIL",2021-06-02 11:24:44.991497
25,Monero,XMR,$285.70,10.73%,9.51%,"$5,120,721,001","$286,073,056","17,923,149 XMR",2021-06-02 11:24:44.991497
26,Aave,AAVE,$396.70,6.44%,5.33%,"$5,072,593,701","$446,120,728","12,787,026 AAVE",2021-06-02 11:24:44.991497
27,Dai,DAI,$1.00,0.04%,0.01%,"$4,673,908,812","$346,465,848","4,665,365,140 DAI",2021-06-02 11:24:44.991497
28,Neo,NEO,$58.12,8.53%,4.56%,"$4,099,973,143","$558,402,651","70,538,831 NEO",2021-06-02 11:24:44.991497
29,SHIBA INU,SHIB,$0.000009686,13.12%,0.44%,"$3,823,910,837","$1,190,409,888","394,796,000,000,000 SHIB",2021-06-02 11:24:44.991497
30,Maker,MKR,"$3,711.39",4.61%,3.33%,"$3,679,815,987","$148,928,726","991,493 MKR",2021-06-02 11:24:44.991497
31,PancakeSwap,CAKE,$20.22,15.23%,6.77%,"$3,563,818,628","$280,924,288","176,245,232 CAKE",2021-06-02 11:24:44.991497
32,Kusama,KSM,$411.58,11.25%,25.34%,"$3,486,087,179","$355,937,560","8,470,098 KSM",2021-06-02 11:24:44.991497
33,IOTA,MIOTA,$1.26,13.93%,7.26%,"$3,512,765,396","$100,080,026","2,779,530,283 MIOTA",2021-06-02 11:24:44.991497
34,Klaytn,KLAY,$1.41,3.61%,11.86%,"$3,487,333,689","$33,676,403","2,469,537,018 KLAY",2021-06-02 11:24:44.991497
35,Bitcoin SV,BSV,$182.57,8.23%,2.91%,"$3,451,288,297","$985,925,373","18,749,502 BSV",2021-06-02 11:24:44.991497
36,FTX Token,FTT,$35.97,8.30%,0.22%,"$3,393,231,397","$123,487,433","94,346,958 FTT",2021-06-02 11:24:44.991497
37,Tezos,XTZ,$3.85,7.91%,0.13%,"$3,383,038,419","$159,513,344","878,016,513 XTZ",2021-06-02 11:24:44.991497
38,Crypto.com Coin,CRO,$0.1314,8.59%,1.37%,"$3,326,928,410","$78,144,805","25,263,013,692 CRO",2021-06-02 11:24:44.991497
39,Cosmos,ATOM,$15.04,10.33%,1.36%,"$3,182,758,799","$265,815,769","210,767,263 ATOM",2021-06-02 11:24:44.991497
40,Huobi Token,HT,$17.27,11.94%,3.59%,"$3,061,436,713","$596,244,517","175,074,232 HT",2021-06-02 11:24:44.991497
41,Algorand,ALGO,$0.9622,7.13%,4.86%,"$2,945,498,996","$118,875,871","3,061,263,210 ALGO",2021-06-02 11:24:44.991497
42,Terra,LUNA,$7.10,13.21%,3.65%,"$2,912,334,271","$278,592,400","410,468,837 LUNA",2021-06-02 11:24:44.991497
43,Bitcoin BEP2,BTCB,"$38,146.18",5.46%,3.06%,"$2,788,849,809","$73,789,831","73,110 BTCB",2021-06-02 11:24:44.991497
44,UNUS SED LEO,LEO,$2.87,12.81%,27.52%,"$2,733,286,389","$4,368,876","953,954,130 LEO",2021-06-02 11:24:44.991497
45,THORChain,RUNE,$12.51,6.86%,1.80%,"$2,670,524,971","$100,595,786","213,536,800 RUNE",2021-06-02 11:24:44.991497
46,BitTorrent,BTT,$0.003934,5.29%,8.29%,"$2,596,102,249","$391,461,731","659,952,625,000 BTT",2021-06-02 11:24:44.991497
47,Avalanche,AVAX,$19.12,8.83%,4.10%,"$2,492,767,130","$95,253,355","130,343,840 AVAX",2021-06-02 11:24:44.991497
48,Compound,COMP,$452.61,6.87%,2.01%,"$2,365,645,184","$156,875,426","5,226,710 COMP",2021-06-02 11:24:44.991497
49,Decred,DCR,$164.30,0.69%,17.72%,"$2,133,516,720","$49,363,077","12,985,522 DCR",2021-06-02 11:24:44.991497
